1/26 10:4:55, 0.0 PSI
1/26 21:59:1,18.7 PSI
1/26 21:59:4,18.7 PSI
1/26 21:59:7,18.7 PSI
1/26 21:59:11,18.5 PSI
1/26 21:59:14,18.5 PSI
1/26 21:59:17,18.4 PSI
1/26 21:59:20,18.5 PSI
1/26 21:59:23,18.5 PSI
1/26 21:59:27,18.5 PSI
1/26 21:59:30,18.4 PSI
1/26 21:59:33,18.4 PSI
1/26 21:59:36,18.4 PSI
1/26 21:59:39,18.4 PSI
1/26 21:59:43,18.4 PSI
1/26 21:59:46,18.3 PSI
1/26 21:59:49,18.3 PSI
1/26 21:59:52,18.2 PSI
1/26 21:59:55,18.2 PSI
1/26 21:59:59,18.2 PSI
1/26 22:0:2,18.1 PSI
1/26 22:0:5,18.1 PSI
1/26 22:0:8,18.1 PSI
1/26 22:0:11,18.1 PSI
1/26 22:0:15,18.0 PSI
1/26 22:0:18,18.0 PSI
1/26 22:0:21,17.9 PSI
1/26 22:0:24,17.9 PSI
1/26 22:0:27,17.9 PSI
1/26 22:0:31,17.9 PSI
1/26 22:0:34,17.9 PSI
1/26 22:0:37,17.9 PSI
1/26 22:0:40,17.9 PSI
1/26 22:0:43,17.9 PSI
1/26 22:0:46,17.9 PSI
1/26 22:0:50,17.9 PSI
1/26 22:0:53,17.9 PSI
1/26 22:0:56,17.8 PSI
1/26 22:0:59,17.7 PSI
1/26 22:1:2,17.6 PSI
1/26 22:1:6,17.6 PSI
1/26 22:1:9,17.5 PSI
1/26 22:1:12,17.4 PSI
1/26 22:1:15,17.4 PSI
1/26 22:1:18,17.3 PSI
1/26 22:1:22,17.3 PSI
1/26 22:1:25,17.3 PSI
1/26 22:1:28,17.2 PSI
1/26 22:1:31,17.1 PSI
1/26 22:1:34,17.1 PSI
1/26 22:1:38,17.1 PSI
1/26 22:1:41,17.0 PSI
1/26 22:1:44,17.0 PSI
1/26 22:1:47,17.2 PSI
1/26 22:1:50,17.1 PSI
1/26 22:1:54,17.3 PSI
1/26 22:1:57,17.2 PSI
1/26 22:2:0,17.3 PSI
1/26 22:2:3,17.4 PSI
1/26 22:2:6,17.6 PSI
1/26 22:2:9,17.6 PSI
1/26 22:2:13,17.7 PSI
1/26 22:2:16,17.7 PSI
1/26 22:2:19,17.8 PSI
1/26 22:2:22,17.4 PSI
1/26 22:2:25,16.4 PSI
1/26 22:2:29,15.9 PSI
1/26 22:2:32,17.9 PSI
1/26 22:2:35,17.8 PSI
1/26 22:2:38,17.9 PSI
1/26 22:2:41,18.0 PSI
1/26 22:2:45,18.0 PSI
1/26 22:2:48,18.0 PSI
1/26 22:2:51,18.0 PSI
1/26 22:2:54,17.9 PSI
1/26 22:2:57,17.7 PSI
1/26 22:3:1,17.6 PSI
1/26 22:3:4,17.6 PSI
1/26 22:3:7,17.5 PSI
1/26 22:3:10,17.5 PSI
1/26 22:3:13,17.5 PSI
1/26 22:3:17,17.5 PSI
1/26 22:3:20,17.5 PSI
1/26 22:3:23,17.4 PSI
1/26 22:3:26,17.4 PSI
1/26 22:3:29,17.3 PSI
1/26 22:3:33,17.2 PSI
1/26 22:3:36,17.3 PSI
1/26 22:3:39,17.3 PSI
1/26 22:3:42,17.3 PSI
1/26 22:3:45,17.3 PSI
1/26 22:3:48,17.3 PSI
1/26 22:3:52,17.4 PSI
1/26 22:3:55,17.4 PSI
1/26 22:3:58,17.4 PSI
1/26 22:4:1,17.5 PSI
1/26 22:4:4,17.5 PSI
1/26 22:4:8,17.5 PSI
1/26 22:4:11,17.4 PSI
1/26 22:4:14,17.6 PSI
1/26 22:4:17,18.0 PSI
1/26 22:4:20,18.2 PSI
1/26 22:4:24,18.3 PSI
1/26 22:4:27,18.4 PSI
1/26 22:4:30,18.4 PSI
1/26 22:4:33,18.4 PSI
1/26 22:4:36,18.6 PSI
1/26 22:4:40,18.7 PSI
1/26 22:4:43,18.7 PSI
1/26 22:4:46,18.5 PSI
1/26 22:4:49,18.6 PSI
1/26 22:4:52,18.4 PSI
1/26 22:4:56,18.5 PSI
1/26 22:4:59,18.6 PSI
1/26 22:5:2,18.5 PSI
1/26 22:5:5,18.5 PSI
1/26 22:5:9,18.4 PSI
1/26 22:5:12,18.7 PSI
1/26 22:5:15,18.7 PSI
1/26 22:5:18,18.8 PSI
1/26 22:5:22,18.9 PSI
1/26 22:5:25,18.9 PSI
1/26 22:5:28,18.9 PSI
1/26 22:5:31,19.0 PSI
1/26 22:5:34,19.0 PSI
1/26 22:5:37,19.1 PSI
1/26 22:5:41,19.1 PSI
1/26 22:5:44,19.1 PSI
1/26 22:5:47,19.1 PSI
1/26 22:5:50,19.1 PSI
1/26 22:5:53,19.2 PSI
1/26 22:5:57,19.3 PSI
1/26 22:6:0,19.3 PSI
1/26 22:6:3,19.3 PSI
1/26 22:6:6,19.3 PSI
1/26 22:6:9,19.4 PSI
1/26 22:6:13,19.5 PSI
1/26 22:6:16,19.5 PSI
1/26 22:6:19,19.6 PSI
1/26 22:6:22,19.6 PSI
1/26 22:6:25,19.6 PSI
1/26 22:6:29,19.6 PSI
1/26 22:6:32,19.6 PSI
1/26 22:6:35,19.7 PSI
1/26 22:6:38,19.8 PSI
1/26 22:6:41,19.8 PSI
1/26 22:6:45,19.9 PSI
1/26 22:6:48,19.9 PSI
1/26 22:6:51,19.9 PSI
1/26 22:6:54,19.9 PSI
1/26 22:6:57,19.8 PSI
1/26 22:7:0,19.8 PSI
1/26 22:7:4,19.8 PSI
1/26 22:7:7,19.8 PSI
1/26 22:7:10,19.7 PSI
1/26 22:7:13,19.7 PSI
1/26 22:7:16,19.7 PSI
1/26 22:7:20,19.6 PSI
1/26 22:7:23,19.4 PSI
1/26 22:7:26,19.5 PSI
1/26 22:7:29,19.6 PSI
1/26 22:7:32,19.6 PSI
1/26 22:7:36,19.6 PSI
1/26 22:7:39,19.5 PSI
1/26 22:7:42,19.4 PSI
1/26 22:7:45,19.0 PSI
1/26 22:7:48,19.0 PSI
1/26 22:7:52,19.0 PSI
1/26 22:7:55,18.7 PSI
1/26 22:7:58,18.7 PSI
1/26 22:8:1,18.7 PSI
1/26 22:8:4,18.8 PSI
1/26 22:8:8,18.7 PSI
1/26 22:8:11,18.6 PSI
1/26 22:8:14,19.3 PSI
1/26 22:8:17,18.4 PSI
1/26 22:8:20,18.4 PSI
1/26 22:8:23,18.3 PSI
1/26 22:8:27,18.3 PSI
1/26 22:8:30,18.3 PSI
1/26 22:8:33,18.2 PSI
1/26 22:8:36,18.4 PSI
1/26 22:8:39,18.1 PSI
1/26 22:8:43,18.1 PSI
1/26 22:8:46,18.2 PSI
1/26 22:8:49,18.3 PSI
1/26 22:8:52,18.4 PSI
1/26 22:8:55,18.5 PSI
1/26 22:8:59,18.4 PSI
1/26 22:9:2,18.4 PSI
1/26 22:9:5,18.4 PSI
1/26 22:9:8,18.4 PSI
1/26 22:9:11,18.3 PSI
1/26 22:9:15,18.3 PSI
1/26 22:9:18,18.3 PSI
1/26 22:9:21,18.2 PSI
1/26 22:9:24,18.2 PSI
1/26 22:9:27,18.3 PSI
1/26 22:9:31,17.6 PSI
1/26 22:9:34,17.6 PSI
1/26 22:9:37,17.6 PSI
1/26 22:9:40,17.6 PSI
1/26 22:9:43,18.1 PSI
1/26 22:9:47,17.9 PSI
1/26 22:9:50,17.9 PSI
1/26 22:9:53,18.0 PSI
1/26 22:9:56,18.0 PSI
1/26 22:9:59,18.1 PSI
1/26 22:10:3,18.1 PSI
1/26 22:10:6,18.2 PSI
1/26 22:10:9,18.3 PSI
1/26 22:10:12,18.4 PSI
1/26 22:10:15,18.5 PSI
1/26 22:10:18,18.5 PSI
1/26 22:10:22,18.6 PSI
1/26 22:10:25,20.8 PSI
1/26 22:10:28,19.4 PSI
1/26 22:10:31,19.5 PSI
1/26 22:10:34,19.4 PSI
1/26 22:10:38,19.3 PSI
1/26 22:10:41,18.9 PSI
1/26 22:10:44,18.6 PSI
1/26 22:10:47,18.6 PSI
1/26 22:10:50,18.4 PSI
1/26 22:10:54,18.4 PSI
1/26 22:10:57,18.4 PSI
1/26 22:11:0,18.4 PSI
1/26 22:11:3,18.3 PSI
1/26 22:11:6,19.5 PSI
1/26 22:11:10,19.0 PSI
1/26 22:11:13,19.0 PSI
1/26 22:11:16,19.0 PSI
1/26 22:11:19,19.2 PSI
1/26 22:11:22,19.4 PSI
1/26 22:11:26,19.3 PSI
1/26 22:11:29,19.3 PSI
1/26 22:11:32,19.3 PSI
1/26 22:11:35,19.4 PSI
1/26 22:11:38,19.3 PSI
1/26 22:11:42,19.3 PSI
1/26 22:11:45,19.3 PSI
1/26 22:11:48,19.3 PSI
1/26 22:11:51,19.3 PSI
1/26 22:11:54,19.3 PSI
1/26 22:11:58,19.3 PSI
1/26 22:12:1,19.4 PSI
1/26 22:12:4,19.3 PSI
1/26 22:12:7,19.4 PSI
1/26 22:12:11,19.4 PSI
1/26 22:12:14,19.4 PSI
1/26 22:12:17,19.4 PSI
1/26 22:12:20,19.4 PSI
1/26 22:12:24,19.5 PSI
1/26 22:12:27,17.9 PSI
1/26 22:12:30,17.8 PSI
1/26 22:12:33,17.9 PSI
1/26 22:12:36,17.9 PSI
1/26 22:12:39,17.9 PSI
1/26 22:12:43,17.9 PSI
1/26 22:12:46,18.0 PSI
1/26 22:12:49,18.1 PSI
1/26 22:12:52,18.0 PSI
1/26 22:12:55,18.0 PSI
1/26 22:12:59,18.1 PSI
1/26 22:13:2,18.1 PSI
1/26 22:13:5,18.0 PSI
1/26 22:13:8,18.0 PSI
1/26 22:13:11,18.0 PSI
1/26 22:13:15,18.0 PSI
1/26 22:13:18,18.1 PSI
1/26 22:13:21,18.1 PSI
1/26 22:13:24,18.1 PSI
1/26 22:13:27,18.0 PSI
1/26 22:13:31,17.9 PSI
1/26 22:13:34,15.1 PSI
1/26 22:13:37,14.4 PSI
1/26 22:13:40,14.4 PSI
1/26 22:13:43,14.4 PSI
1/26 22:13:47,14.4 PSI
1/26 22:13:50,14.5 PSI
1/26 22:13:53,14.4 PSI
1/26 22:13:56,14.5 PSI
1/26 22:13:59,14.4 PSI
1/26 22:14:3,14.3 PSI
1/26 22:14:6,14.3 PSI
1/26 22:14:9,14.2 PSI
1/26 22:14:12,14.2 PSI
1/26 22:14:15,14.1 PSI
1/26 22:14:19,14.1 PSI
1/26 22:14:22,14.1 PSI
1/26 22:14:25,14.1 PSI
1/26 22:14:28,14.1 PSI
1/26 22:14:31,14.1 PSI
1/26 22:14:34,14.1 PSI
1/26 22:14:38,14.1 PSI
1/26 22:14:41,14.1 PSI
1/26 22:14:44,14.2 PSI
1/26 22:14:47,14.4 PSI
1/26 22:14:50,14.4 PSI
1/26 22:14:54,14.4 PSI
1/26 22:14:57,14.4 PSI
1/26 22:15:0,14.4 PSI
1/26 22:15:3,20.9 PSI
1/26 22:15:6,18.9 PSI
1/26 22:15:10,19.0 PSI
1/26 22:15:13,19.2 PSI
1/26 22:15:16,19.0 PSI
1/26 22:15:19,19.3 PSI
1/26 22:15:22,19.3 PSI
1/26 22:15:26,19.4 PSI
1/26 22:15:29,19.3 PSI
1/26 22:15:32,19.3 PSI
1/26 22:15:35,19.3 PSI
1/26 22:15:38,19.3 PSI
1/26 22:15:42,19.4 PSI
1/26 22:15:45,19.4 PSI
1/26 22:15:48,19.4 PSI
1/26 22:15:51,19.4 PSI
1/26 22:15:54,19.6 PSI
1/26 22:15:58,19.4 PSI
1/26 22:16:1,19.3 PSI
1/26 22:16:4,19.3 PSI
1/26 22:16:7,19.4 PSI
1/26 22:16:10,19.3 PSI
1/26 22:16:14,19.3 PSI
1/26 22:16:17,19.3 PSI
1/26 22:16:20,19.3 PSI
1/26 22:16:23,19.3 PSI
1/26 22:16:26,19.3 PSI
1/26 22:16:29,19.3 PSI
1/26 22:16:33,19.4 PSI
1/26 22:16:36,19.4 PSI
1/26 22:16:39,19.6 PSI
1/26 22:16:42,19.6 PSI
1/26 22:16:45,19.7 PSI
1/26 22:16:49,19.7 PSI
1/26 22:16:52,19.8 PSI
1/26 22:16:55,19.8 PSI
1/26 22:16:58,19.9 PSI
1/26 22:17:1,19.9 PSI
1/26 22:17:5,19.9 PSI
1/26 22:17:8,20.0 PSI
1/26 22:17:11,20.0 PSI
1/26 22:17:14,20.1 PSI
1/26 22:17:17,20.1 PSI
1/26 22:17:21,20.1 PSI
1/26 22:17:24,20.2 PSI
1/26 22:17:27,20.2 PSI
1/26 22:17:30,20.2 PSI
1/26 22:17:33,20.2 PSI
1/26 22:17:37,20.3 PSI
1/26 22:17:40,20.4 PSI
1/26 22:17:43,20.5 PSI
1/26 22:17:46,20.5 PSI
1/26 22:17:49,20.5 PSI
1/26 22:17:53,20.5 PSI
1/26 22:17:56,20.5 PSI
1/26 22:17:59,20.5 PSI
1/26 22:18:2,20.5 PSI
1/26 22:18:5,20.5 PSI
1/26 22:18:9,20.6 PSI
1/26 22:18:12,20.6 PSI
1/26 22:18:15,20.6 PSI
1/26 22:18:18,20.6 PSI
1/26 22:18:21,20.6 PSI
1/26 22:18:24,20.6 PSI
1/26 22:18:28,20.7 PSI
1/26 22:18:31,20.7 PSI
1/26 22:18:34,20.7 PSI
1/26 22:18:37,20.7 PSI
1/26 22:18:41,20.7 PSI
1/26 22:18:44,20.7 PSI
1/26 22:18:47,20.7 PSI
1/26 22:18:50,20.7 PSI
1/26 22:18:53,20.8 PSI
1/26 22:18:57,20.7 PSI
1/26 22:19:0,20.8 PSI
1/26 22:19:3,20.8 PSI
1/26 22:19:6,20.8 PSI
1/26 22:19:10,20.8 PSI
1/26 22:19:13,20.8 PSI
1/26 22:19:16,20.8 PSI
1/26 22:19:19,20.7 PSI
1/26 22:19:22,20.8 PSI
1/26 22:19:26,20.7 PSI
1/26 22:19:29,20.7 PSI
1/26 22:19:32,20.7 PSI
1/26 22:19:35,20.6 PSI
1/26 22:19:38,20.6 PSI
1/26 22:19:42,20.7 PSI
1/26 22:19:45,20.7 PSI
1/26 22:19:48,20.6 PSI
1/26 22:19:51,20.7 PSI
1/26 22:19:54,20.7 PSI
1/26 22:19:58,20.7 PSI
1/26 22:20:1,20.8 PSI
1/26 22:20:4,20.8 PSI
1/26 22:20:7,20.9 PSI
1/26 22:20:10,20.9 PSI
1/26 22:20:14,21.0 PSI
1/26 22:20:17,21.0 PSI
1/26 22:20:20,21.1 PSI
1/26 22:20:23,21.1 PSI
1/26 22:20:26,21.0 PSI
1/26 22:20:30,21.1 PSI
1/26 22:20:33,21.1 PSI
1/26 22:20:36,21.1 PSI
1/26 22:20:39,21.1 PSI
1/26 22:20:42,21.1 PSI
1/26 22:20:45,21.1 PSI
1/26 22:20:49,21.1 PSI
1/26 22:20:52,21.1 PSI
1/26 22:20:55,21.1 PSI
1/26 22:20:58,21.1 PSI
1/26 22:21:1,21.1 PSI
1/26 22:21:5,21.1 PSI
1/26 22:21:8,21.1 PSI
1/26 22:21:11,21.1 PSI
1/26 22:21:14,21.1 PSI
1/26 22:21:17,21.0 PSI
1/26 22:21:21,21.1 PSI
1/26 22:21:24,21.1 PSI
1/26 22:21:27,21.1 PSI
1/26 22:21:30,21.1 PSI
1/26 22:21:33,21.1 PSI
1/26 22:21:37,21.1 PSI
1/26 22:21:40,21.1 PSI
1/26 22:21:43,21.1 PSI
1/26 22:21:46,21.1 PSI
1/26 22:21:49,21.1 PSI
1/26 22:21:53,21.2 PSI
1/26 22:21:56,21.1 PSI
1/26 22:21:59,21.2 PSI
1/26 22:22:2,21.1 PSI
1/26 22:22:5,21.1 PSI
1/26 22:22:9,21.1 PSI
1/26 22:22:12,21.1 PSI
1/26 22:22:15,21.1 PSI
1/26 22:22:18,21.1 PSI
1/26 22:22:21,21.1 PSI
1/26 22:22:25,21.1 PSI
1/26 22:22:28,21.1 PSI
1/26 22:22:31,21.1 PSI
1/26 22:22:34,21.1 PSI
1/26 22:22:37,21.1 PSI
1/26 22:22:41,21.0 PSI
1/26 22:22:44,21.0 PSI
1/26 22:22:47,20.9 PSI
1/26 22:22:50,21.1 PSI
1/26 22:22:53,21.1 PSI
1/26 22:22:56,21.1 PSI
1/26 22:23:0,21.1 PSI
1/26 22:23:3,21.1 PSI
1/26 22:23:6,21.1 PSI
1/26 22:23:9,21.1 PSI
1/26 22:23:12,21.1 PSI
1/26 22:23:16,21.1 PSI
1/26 22:23:19,21.1 PSI
1/26 22:23:22,21.1 PSI
1/26 22:23:25,21.1 PSI
1/26 22:23:28,21.1 PSI
1/26 22:23:32,21.0 PSI
1/26 22:23:35,20.8 PSI
1/26 22:23:38,20.8 PSI
1/26 22:23:41,20.8 PSI
1/26 22:23:44,20.6 PSI
1/26 22:23:48,20.6 PSI
1/26 22:23:51,20.6 PSI
1/26 22:23:54,20.6 PSI
1/26 22:23:57,20.6 PSI
1/26 22:24:0,20.6 PSI
1/26 22:24:4,20.7 PSI
1/26 22:24:7,20.7 PSI
1/26 22:24:10,20.7 PSI
1/26 22:24:13,20.5 PSI
1/26 22:24:16,20.5 PSI
1/26 22:24:19,20.5 PSI
1/26 22:24:23,20.5 PSI
1/26 22:24:26,20.5 PSI
1/26 22:24:29,20.5 PSI
1/26 22:24:32,20.6 PSI
1/26 22:24:35,20.5 PSI
1/26 22:24:39,20.6 PSI
1/26 22:24:42,20.7 PSI
1/26 22:24:45,20.7 PSI
1/26 22:24:48,20.6 PSI
1/26 22:24:51,20.6 PSI
1/26 22:24:55,20.6 PSI
1/26 22:24:58,20.7 PSI
1/26 22:25:1,20.8 PSI
1/26 22:25:4,20.8 PSI
1/26 22:25:8,20.8 PSI
1/26 22:25:11,21.0 PSI
1/26 22:25:14,21.1 PSI
1/26 22:25:17,21.1 PSI
1/26 22:25:20,21.1 PSI
1/26 22:25:24,21.2 PSI
1/26 22:25:27,21.1 PSI
1/26 22:25:30,21.1 PSI
1/26 22:25:33,21.1 PSI
1/26 22:25:36,21.3 PSI
1/26 22:25:39,21.4 PSI
1/26 22:25:43,21.5 PSI
1/26 22:25:46,21.6 PSI
1/26 22:25:49,21.5 PSI
1/26 22:25:52,21.5 PSI
1/26 22:25:56,21.6 PSI
1/26 22:25:59,21.6 PSI
1/26 22:26:2,21.6 PSI
1/26 22:26:5,21.7 PSI
1/26 22:26:9,21.7 PSI
1/26 22:26:12,21.8 PSI
1/26 22:26:15,21.8 PSI
1/26 22:26:18,21.9 PSI
1/26 22:26:21,21.9 PSI
1/26 22:26:24,22.0 PSI
1/26 22:26:28,22.0 PSI
1/26 22:26:31,22.0 PSI
1/26 22:26:34,22.1 PSI
1/26 22:26:37,22.1 PSI
1/26 22:26:40,22.1 PSI
1/26 22:26:44,21.7 PSI
1/26 22:26:47,22.0 PSI
1/26 22:26:50,21.9 PSI
1/26 22:26:53,21.6 PSI
1/26 22:26:56,21.8 PSI
1/26 22:27:0,21.8 PSI
1/26 22:27:3,21.7 PSI
1/26 22:27:6,21.6 PSI
1/26 22:27:9,21.7 PSI
1/26 22:27:12,21.7 PSI
1/26 22:27:16,21.7 PSI
1/26 22:27:19,21.7 PSI
1/26 22:27:22,21.7 PSI
1/26 22:27:25,21.7 PSI
1/26 22:27:28,21.7 PSI
1/26 22:27:32,21.7 PSI
1/26 22:27:35,21.6 PSI
1/26 22:27:38,21.7 PSI
1/26 22:27:41,21.7 PSI
1/26 22:27:44,21.6 PSI
1/26 22:27:48,21.6 PSI
1/26 22:27:51,21.6 PSI
1/26 22:27:54,21.6 PSI
1/26 22:27:57,21.6 PSI
1/26 22:28:0,21.6 PSI
1/26 22:28:4,21.6 PSI
1/26 22:28:7,21.5 PSI
1/26 22:28:10,21.5 PSI
1/26 22:28:13,21.4 PSI
1/26 22:28:16,21.5 PSI
1/26 22:28:20,21.6 PSI
1/26 22:28:23,21.3 PSI
1/26 22:28:26,21.4 PSI
1/26 22:28:29,21.5 PSI
1/26 22:28:32,21.4 PSI
1/26 22:28:36,21.3 PSI
1/26 22:28:39,21.4 PSI
1/26 22:28:42,21.4 PSI
1/26 22:28:45,21.4 PSI
1/26 22:28:48,21.5 PSI
1/26 22:28:52,21.4 PSI
1/26 22:28:55,21.5 PSI
1/26 22:28:58,21.5 PSI
1/26 22:29:1,21.5 PSI
1/26 22:29:4,21.5 PSI
1/26 22:29:8,21.5 PSI
1/26 22:29:11,21.5 PSI
1/26 22:29:14,21.5 PSI
1/26 22:29:17,21.5 PSI
1/26 22:29:20,21.6 PSI
1/26 22:29:23,21.6 PSI
1/26 22:29:27,21.6 PSI
1/26 22:29:30,21.6 PSI
1/26 22:29:33,21.6 PSI
1/26 22:29:36,21.6 PSI
1/26 22:29:39,21.6 PSI
1/26 22:29:43,21.6 PSI
1/26 22:29:46,21.6 PSI
1/26 22:29:49,21.6 PSI
1/26 22:29:52,21.6 PSI
1/26 22:29:55,21.5 PSI
1/26 22:29:59,21.5 PSI
1/26 22:30:2,21.5 PSI
1/26 22:30:5,21.5 PSI
1/26 22:30:8,21.6 PSI
1/26 22:30:11,21.5 PSI
1/26 22:30:15,21.5 PSI
1/26 22:30:18,21.5 PSI
1/26 22:30:21,21.5 PSI
1/26 22:30:24,21.5 PSI
1/26 22:30:27,21.5 PSI
1/26 22:30:31,21.5 PSI
1/26 22:30:34,21.5 PSI
1/26 22:30:37,21.5 PSI
1/26 22:30:40,21.5 PSI
1/26 22:30:43,21.5 PSI
1/26 22:30:47,21.5 PSI
1/26 22:30:50,21.5 PSI
1/26 22:30:53,21.5 PSI
1/26 22:30:56,21.5 PSI
1/26 22:30:59,21.5 PSI
1/26 22:31:3,21.6 PSI
1/26 22:31:6,21.6 PSI
1/26 22:31:9,21.6 PSI
1/26 22:31:12,21.6 PSI
1/26 22:31:15,21.6 PSI
1/26 22:31:18,21.6 PSI
1/26 22:31:22,21.6 PSI
1/26 22:31:25,21.3 PSI
1/26 22:31:28,21.1 PSI
1/26 22:31:31,21.1 PSI
1/26 22:31:35,21.0 PSI
1/26 22:31:38,20.8 PSI
1/26 22:31:41,20.8 PSI
1/26 22:31:44,20.7 PSI
1/26 22:31:47,20.7 PSI
1/26 22:31:51,20.6 PSI
1/26 22:31:54,20.5 PSI
1/26 22:31:57,20.4 PSI
1/26 22:32:0,20.3 PSI
1/26 22:32:3,20.3 PSI
1/26 22:32:7,20.3 PSI
1/26 22:32:10,20.2 PSI
1/26 22:32:13,20.3 PSI
1/26 22:32:16,20.2 PSI
1/26 22:32:19,20.1 PSI
1/26 22:32:22,20.0 PSI
1/26 22:32:26,20.0 PSI
1/26 22:32:29,19.9 PSI
1/26 22:32:32,19.9 PSI
1/26 22:32:35,19.9 PSI
1/26 22:32:38,19.9 PSI
1/26 22:32:42,19.9 PSI
1/26 22:32:45,19.9 PSI
1/26 22:32:48,19.9 PSI
1/26 22:32:52,19.9 PSI
1/26 22:32:55,19.8 PSI
1/26 22:32:58,19.8 PSI
1/26 22:33:1,20.5 PSI
1/26 22:33:4,20.8 PSI
1/26 22:33:7,20.8 PSI
1/26 22:33:11,21.0 PSI
1/26 22:33:14,21.1 PSI
1/26 22:33:17,21.3 PSI
1/26 22:33:20,21.3 PSI
1/26 22:33:23,21.4 PSI
1/26 22:33:27,21.6 PSI
1/26 22:33:30,21.7 PSI
1/26 22:33:33,21.8 PSI
1/26 22:33:36,21.9 PSI
1/26 22:33:39,22.0 PSI
1/26 22:33:43,22.0 PSI
1/26 22:33:46,22.1 PSI
1/26 22:33:49,22.2 PSI
1/26 22:33:52,22.2 PSI
1/26 22:33:55,22.2 PSI
1/26 22:33:59,22.3 PSI
1/26 22:34:2,22.3 PSI
1/26 22:34:5,22.3 PSI
1/26 22:34:8,22.3 PSI
1/26 22:34:11,22.3 PSI
1/26 22:34:15,22.4 PSI
1/26 22:34:18,22.4 PSI
1/26 22:34:21,22.4 PSI
1/26 22:34:24,22.4 PSI
1/26 22:34:27,22.4 PSI
1/26 22:34:31,22.5 PSI
1/26 22:34:34,22.1 PSI
1/26 22:34:37,21.9 PSI
1/26 22:34:40,21.6 PSI
1/26 22:34:43,21.4 PSI
1/26 22:34:47,21.8 PSI
1/26 22:34:50,21.9 PSI
1/26 22:34:53,21.9 PSI
1/26 22:34:56,22.0 PSI
1/26 22:34:59,21.9 PSI
1/26 22:35:3,21.4 PSI
1/26 22:35:6,21.3 PSI
1/26 22:35:9,21.4 PSI
1/26 22:35:12,21.1 PSI
1/26 22:35:15,21.2 PSI
1/26 22:35:19,21.3 PSI
1/26 22:35:22,21.9 PSI
1/26 22:35:25,22.0 PSI
1/26 22:35:28,22.0 PSI
1/26 22:35:31,22.2 PSI
1/26 22:35:34,22.2 PSI
1/26 22:35:38,22.2 PSI
1/26 22:35:41,22.2 PSI
1/26 22:35:44,22.3 PSI
1/26 22:35:47,22.4 PSI
1/26 22:35:50,22.5 PSI
1/26 22:35:54,22.5 PSI
1/26 22:35:57,22.5 PSI
1/26 22:36:0,22.5 PSI
1/26 22:36:3,22.6 PSI
1/26 22:36:6,22.6 PSI
1/26 22:36:10,22.6 PSI
1/26 22:36:13,22.7 PSI
1/26 22:36:16,22.6 PSI
1/26 22:36:19,22.7 PSI
1/26 22:36:22,22.7 PSI
1/26 22:36:26,22.7 PSI
1/26 22:36:29,22.8 PSI
1/26 22:36:32,22.8 PSI
1/26 22:36:35,22.8 PSI
1/26 22:36:38,22.8 PSI
1/26 22:36:42,22.8 PSI
1/26 22:36:45,22.8 PSI
1/26 22:36:48,22.8 PSI
1/26 22:36:51,22.8 PSI
1/26 22:36:54,22.8 PSI
1/26 22:36:58,22.8 PSI
1/26 22:37:1,22.8 PSI
1/26 22:37:4,22.8 PSI
1/26 22:37:7,22.8 PSI
1/26 22:37:10,22.8 PSI
1/26 22:37:14,22.8 PSI
1/26 22:37:17,22.7 PSI
1/26 22:37:20,22.7 PSI
1/26 22:37:23,22.8 PSI
1/26 22:37:26,22.8 PSI
1/26 22:37:30,22.7 PSI
1/26 22:37:33,22.6 PSI
1/26 22:37:36,22.6 PSI
1/26 22:37:39,22.6 PSI
1/26 22:37:42,22.6 PSI
1/26 22:37:45,19.9 PSI
1/26 22:37:49,19.9 PSI
1/26 22:37:52,19.9 PSI
1/26 22:37:55,19.9 PSI
1/26 22:37:58,19.8 PSI
1/26 22:38:2,19.8 PSI
1/26 22:38:5,19.7 PSI
1/26 22:38:8,19.7 PSI
1/26 22:38:11,19.8 PSI
1/26 22:38:14,19.6 PSI
1/26 22:38:18,19.7 PSI
1/26 22:38:21,19.7 PSI
1/26 22:38:24,19.6 PSI
1/26 22:38:27,19.6 PSI
1/26 22:38:30,19.7 PSI
1/26 22:38:34,19.7 PSI
1/26 22:38:37,19.7 PSI
1/26 22:38:40,19.7 PSI
1/26 22:38:43,19.8 PSI
1/26 22:38:46,19.9 PSI
1/26 22:38:50,19.8 PSI
1/26 22:38:53,19.8 PSI
1/26 22:38:56,19.9 PSI
1/26 22:38:59,19.9 PSI
1/26 22:39:2,19.9 PSI
1/26 22:39:5,19.9 PSI
1/26 22:39:9,19.9 PSI
1/26 22:39:12,19.9 PSI
1/26 22:39:15,19.9 PSI
1/26 22:39:18,20.1 PSI
1/26 22:39:21,20.2 PSI
1/26 22:39:25,20.5 PSI
1/26 22:39:28,20.8 PSI
1/26 22:39:31,21.8 PSI
1/26 22:39:34,22.5 PSI
1/26 22:39:38,22.6 PSI
1/26 22:39:41,22.8 PSI
1/26 22:39:44,22.8 PSI
1/26 22:39:47,22.8 PSI
1/26 22:39:51,22.9 PSI
1/26 22:39:54,22.9 PSI
1/26 22:39:57,22.9 PSI
1/26 22:40:0,23.0 PSI
1/26 22:40:3,22.9 PSI
1/26 22:40:7,22.9 PSI
1/26 22:40:10,22.9 PSI
1/26 22:40:13,23.0 PSI
1/26 22:40:16,22.9 PSI
1/26 22:40:19,22.9 PSI
